q11,q12,q13,q21,q22,q23,q31,q32,q33,q34,q41,q42,q43
1010.6887817382812,29.551982879638672,21.76499366760254,1234.933614730835,62.319040298461914,50.23002624511719,159.7893238067627,68.9249038696289,74.5084285736084,49.224138259887695,207.11112022399902,95.79062461853027,96.72236442565918
25.0093936920166,29.382705688476562,21.818161010742188,185.52112579345703,52.94036865234375,52.63638496398926,179.50868606567383,70.00613212585449,68.38250160217285,45.27640342712402,147.2911834716797,103.1186580657959,97.43332862854004
29.008865356445312,24.174213409423828,22.099018096923828,176.63836479187012,58.29143524169922,52.12998390197754,177.64949798583984,74.4931697845459,68.70818138122559,51.95927619934082,100.29411315917969,109.35735702514648,118.48235130310059
27.090072631835938,22.877931594848633,22.467374801635742,166.27931594848633,52.47163772583008,52.73580551147461,182.18708038330078,101.14717483520508,68.09139251708984,52.36077308654785,96.32110595703125,120.70846557617188,106.74667358398438
27.452945709228516,22.426605224609375,22.76897430419922,152.03070640563965,58.16769599914551,42.82259941101074,171.25844955444336,99.63774681091309,65.74559211730957,49.64041709899902,92.79561042785645,150.1002311706543,106.98175430297852
27.469635009765625,21.540164947509766,23.25916290283203,151.9913673400879,52.805423736572266,53.58171463012695,169.3887710571289,102.18667984008789,68.56703758239746,54.60762977600098,85.39247512817383,136.28649711608887,104.34198379516602
27.333498001098633,22.57251739501953,22.4459171295166,148.6067771911621,49.09873008728027,51.78546905517578,170.84884643554688,120.30458450317383,73.31395149230957,54.70752716064453,105.67045211791992,156.65078163146973,97.16439247131348
30.138015747070312,22.02749252319336,21.552085876464844,137.52293586730957,49.70574378967285,50.948381423950195,183.44688415527344,114.61687088012695,64.8956298828125,50.75645446777344,115.11802673339844,154.7408103942871,100.44002532958984
28.983116149902344,25.448083877563477,22.838592529296875,134.69338417053223,52.22272872924805,52.22964286804199,181.89525604248047,116.43385887145996,62.723636627197266,64.27454948425293,98.6175537109375,157.05561637878418,97.78690338134766
26.08323097229004,24.18231964111328,22.951602935791016,147.50933647155762,52.86002159118652,52.31451988220215,182.32488632202148,89.72477912902832,63.175201416015625,50.612449645996094,97.24688529968262,163.77806663513184,133.3785057067871
25.45928955078125,24.853229522705078,22.91584014892578,129.56738471984863,52.47664451599121,58.96306037902832,209.87510681152344,85.3123664855957,63.55476379394531,55.68718910217285,92.0419692993164,142.9448127746582,104.31146621704102
27.588605880737305,22.179603576660156,23.838043212890625,141.2053108215332,52.31595039367676,56.78677558898926,176.53608322143555,87.81576156616211,64.05925750732422,52.61707305908203,80.43670654296875,157.5303077697754,103.74832153320312
29.33669090270996,23.58841896057129,23.050546646118164,134.59372520446777,52.782297134399414,51.767587661743164,167.01054573059082,87.42022514343262,62.311410903930664,55.58347702026367,92.77892112731934,205.5516242980957,125.0314712524414
34.63912010192871,22.816181182861328,22.66716957092285,303.00116539001465,52.59895324707031,49.39007759094238,161.851167678833,80.99937438964844,80.33084869384766,56.83279037475586,90.20638465881348,189.57090377807617,107.42640495300293
36.57722473144531,21.838903427124023,21.993160247802734,189.9123191833496,51.8951416015625,45.28951644897461,177.47879028320312,109.36355590820312,66.61725044250488,52.35457420349121,92.45610237121582,172.5161075592041,104.58683967590332
29.476404190063477,24.44744110107422,22.440195083618164,175.67849159240723,51.98216438293457,52.73747444152832,172.9590892791748,121.21462821960449,63.26460838317871,52.805185317993164,89.1716480255127,167.75083541870117,113.61932754516602
29.333114624023438,21.97408676147461,20.937681198120117,153.33056449890137,53.32159996032715,52.0474910736084,167.7682399749756,92.56434440612793,57.566165924072266,52.15024948120117,97.96142578125,161.72122955322266,107.18512535095215
29.503583908081055,22.609949111938477,22.1407413482666,153.87654304504395,52.756309509277344,52.06108093261719,175.81844329833984,95.79157829284668,59.61918830871582,51.878929138183594,87.81147003173828,172.96457290649414,128.39031219482422
28.555870056152344,22.938966751098633,21.628618240356445,144.32406425476074,51.471710205078125,52.72483825683594,178.68781089782715,95.39556503295898,60.58359146118164,52.948951721191406,86.07935905456543,201.10750198364258,128.34835052490234
32.03725814819336,22.617816925048828,21.565914154052734,137.04657554626465,52.51908302307129,52.11830139160156,174.02982711791992,90.37208557128906,58.5479736328125,51.76043510437012,90.88516235351562,166.11576080322266,131.78515434265137
32.334327697753906,23.651599884033203,21.492719650268555,121.55389785766602,52.4144172668457,53.119659423828125,172.637939453125,88.52577209472656,60.70566177368164,55.16362190246582,94.8495864868164,164.36481475830078,148.06818962097168
40.490150451660156,23.95343780517578,21.796703338623047,97.0773696899414,52.918434143066406,52.05178260803223,166.1844253540039,91.25900268554688,60.727834701538086,51.0561466217041,96.60196304321289,174.61681365966797,119.01378631591797
35.857439041137695,25.221824645996094,24.0020751953125,132.3225498199463,53.66325378417969,52.12140083312988,193.34149360656738,99.85995292663574,58.92825126647949,43.32709312438965,88.45806121826172,177.5820255279541,97.84936904907227
30.29036521911621,24.47342872619629,23.420333862304688,145.15924453735352,52.00815200805664,43.43533515930176,186.3703727722168,114.64166641235352,73.97937774658203,49.54981803894043,85.48855781555176,172.86396026611328,111.00316047668457
31.223773956298828,24.190902709960938,21.419286727905273,127.31432914733887,50.575971603393555,51.45764350891113,168.40004920959473,88.32883834838867,66.24436378479004,52.76060104370117,90.31271934509277,161.02099418640137,113.37614059448242
29.572248458862305,23.988723754882812,24.945974349975586,139.62960243225098,52.646636962890625,43.83683204650879,202.51750946044922,89.16711807250977,64.7127628326416,62.93606758117676,94.29311752319336,150.30527114868164,104.87055778503418
28.49555015563965,24.193525314331055,22.157907485961914,85.41536331176758,52.31666564941406,49.77846145629883,204.3461799621582,90.56973457336426,65.76347351074219,62.34931945800781,84.69033241271973,142.55475997924805,103.24215888977051
29.630184173583984,36.187171936035156,21.113872528076172,91.94064140319824,53.19476127624512,43.13492774963379,170.3472137451172,90.85321426391602,65.6132698059082,51.29122734069824,88.3796215057373,138.78417015075684,106.3234806060791
31.418323516845703,39.032936096191406,22.10235595703125,98.7403392791748,51.67388916015625,54.08453941345215,163.47694396972656,87.83745765686035,63.36617469787598,51.16605758666992,93.98484230041504,245.94473838806152,111.57631874084473
