q11,q12,q13,q21,q22,q23,q31,q32,q33,q34,q41,q42,q43
721.5642929077148,251.14107131958008,188.1561279296875,2276.815176010132,1543.0147647857666,1351.9880771636963,2298.8743782043457,1519.2298889160156,1378.0834674835205,413.5744571685791,2163.679599761963,1240.3104305267334,950.507640838623
359.54999923706055,254.63557243347168,182.36041069030762,1960.7939720153809,1551.344633102417,1343.052625656128,2274.120330810547,1512.3906135559082,1363.114356994629,412.428617477417,2043.7517166137695,1294.416904449463,952.7535438537598
376.22547149658203,254.88662719726562,179.81410026550293,1969.170331954956,1543.1439876556396,1345.5297946929932,2252.9051303863525,1508.0540180206299,1357.1839332580566,422.9238033294678,2034.1389179229736,1238.6865615844727,979.142427444458
350.0185012817383,251.75070762634277,180.1302433013916,1985.337495803833,1538.8195514678955,1347.6901054382324,2258.5864067077637,1519.2430019378662,1358.9394092559814,411.9601249694824,2041.071891784668,1241.1768436431885,971.3122844696045
359.42840576171875,250.60296058654785,181.15687370300293,1975.7080078125,1553.1933307647705,1348.0634689331055,2262.781858444214,1511.2767219543457,1350.2023220062256,409.2082977294922,2054.1746616363525,1296.9162464141846,960.8368873596191
365.8261299133301,252.23183631896973,185.5759620666504,1980.6454181671143,1541.4931774139404,1350.6426811218262,2263.878345489502,1546.0598468780518,1348.984718322754,413.5885238647461,2023.7600803375244,1256.2651634216309,958.9319229125977
351.7191410064697,249.26257133483887,177.99687385559082,1989.2170429229736,1526.254415512085,1347.0726013183594,2271.259307861328,1533.5357189178467,1362.8137111663818,410.53152084350586,2034.1293811798096,1263.0462646484375,971.9493389129639
363.69800567626953,252.76494026184082,184.81159210205078,1972.6812839508057,1534.6531867980957,1342.75484085083,2275.8357524871826,1514.439582824707,1358.8066101074219,425.579309463501,2042.8194999694824,1260.9784603118896,971.4186191558838
370.8019256591797,254.11605834960938,181.38909339904785,1991.5204048156738,1527.9192924499512,1347.4833965301514,2277.033567428589,1516.6385173797607,1357.314109802246,412.8704071044922,2117.2304153442383,1251.161813735962,975.1620292663574
358.2417964935303,258.62646102905273,178.05027961730957,1989.8943901062012,1538.6710166931152,1366.7776584625244,2264.465808868408,1501.5068054199219,1354.9036979675293,413.12527656555176,2036.6134643554688,1253.9050579071045,981.5325736999512
353.23548316955566,257.34925270080566,179.03470993041992,1987.8218173980713,1562.6835823059082,1374.9713897705078,2274.430513381958,1524.8966217041016,1366.300344467163,404.188871383667,2025.4945755004883,1236.5553379058838,990.3523921966553
